Shipment_ID,Order_ID,Customer_ID,Customer_Name,Email,Phone,City,Country,Region,Postal_Code,Product_ID,Product_Name,Category,Weight_kg,Quantity,Unit_Price,Total_Price,Shipment_Date,Delivery_Date,Delay_Days,Status,Delivery_Mode,Vehicle_ID,Driver_Name,Transport_Type,Route_ID,Fuel_Cost,Distance_km,Delivery_Center,Warehouse_Name,Manager_Name,Order_Priority,Payment_Mode,Insurance,Return_Status,Remarks,Revenue,Delivery_Duration,Fuel_Efficiency,Profit,Delay_Flag,Urgency_Level,Payment_Mode_Encoded,Order_Priority_Encoded,valid
S687190,O54768,C1407,Amit Kumar,john@example.com,917433943989,Chennai,India,South,400001.0,P2031,Tablet,Food,45.87896342959508,7.0,2036.6726209806648,45101.87521972178,2021-01-02,2023-04-24,12.0,Delayed,Road,V124,Unknown,Unknown,R373,7342.820680526852,632.8260178130992,Unknown,North Hub,Mr. Khan,Low,Online,No,Unknown,No Remarks,14256.708346864652,842 days,0.08618295956639016,37759.05453919493,Yes,Low,5.0,1.0,False
S691051,O13919,C6959,Jane Smith,jane@,917690365953,Delhi,Unknown,East,560001.0,P5318,Headphones,Furniture,20.367541324756797,17.0,2501.315203724154,33111.50560680302,2020-08-01,2025-10-28,5.0,Cancelled,Rail,V682,Mr. Rao,Van,R216,7089.92075935827,1070.479318614681,Warehouse A,North Hub,Mr. Khan,Medium,Online,Unknown,Not Returned,Handle with care,42522.358463310615,1914 days,0.1509860765653428,26021.58484744475,Yes,Normal,5.0,2.0,False
S794002,O70026,C8875,Li Wei,john@example.com,917792931815,Unknown,Unknown,Unknown,600001.0,P2346,Laptop,Accessories,5.000115246598537,13.0,1984.8354527273511,126046.97541719936,2022-02-17,2024-08-23,1.0,Delayed,Road,V920,Ms. Sharma,Unknown,R282,4344.41136364849,365.2178461823782,Unknown,South Hub,Ms. Verma,High,Online,Yes,Not Returned,No Remarks,25802.860885455564,918 days,0.0840661290130831,121702.56405355087,Yes,Urgent,5.0,3.0,False
S617814,O77010,C1177,John Doe,amit@gmail.com,919181497573,Delhi,India,Unknown,400001.0,P3987,Charger,Furniture,88.77766788634449,3.0,4539.137138587447,101699.56873361937,2022-06-05,2024-05-08,12.0,Cancelled,Road,V288,Mrs. Patel,Unknown,R474,7015.422873397185,151.0244465801482,Unknown,Central,Unknown,Unknown,Cash,Yes,Unknown,Handle with care,13617.41141576234,703 days,0.021527490117928608,94684.14586022218,Yes,Unknown,1.0,0.0,False
S119973,O35597,C6094,Fatima Noor,john@example.com,919571668262,Mumbai,UK,North,110001.0,P7822,Headphones,Food,56.34708115816488,15.0,912.201922931994,18874.57944789831,2021-06-06,2023-09-01,0.0,Unknown,Ship,V558,Mr. Lee,Truck,R590,2530.987075191979,1666.8263383197436,Warehouse A,South Hub,Mr. Khan,Medium,Card,Yes,Unknown,Handle with care,13683.02884397991,817 days,0.6585677005850821,16343.592372706333,No,Normal,6.0,2.0,False
S680705,O29901,C4545,Amit Kumar,john@example.com,916868316172,Delhi,Unknown,North,110001.0,P1715,Mobile,Misc,36.95300340772233,3.0,247.931337549312,140528.58311623166,2020-01-05,2024-04-20,5.0,Delivered,Ship,V871,Mr. Rao,Cargo,R646,8231.461695455953,738.6984001823912,Warehouse B,Unknown,Ms. Verma,Medium,Credit,Yes,Unknown,Handle with care,743.7940126479359,1567 days,0.08974085375264247,132297.12142077571,Yes,Normal,2.0,2.0,False
S478286,O88231,C3295,Nan,amit@gmail.com,917364597783,Bangalore,USA,North,560001.0,P8044,Laptop,Furniture,5.000115246598537,10.0,524.0510366881534,101091.60274448698,2021-04-26,2023-05-10,8.0,Unknown,Air,V840,Mrs. Patel,Unknown,R375,2530.987075191979,939.1455906329757,Warehouse A,South Hub,Mr. Khan,Low,Cash,Unknown,Pending,Check packaging,5240.5103668815345,744 days,0.3710590227181386,98560.615669295,Yes,Low,1.0,1.0,False
S308976,O16003,C2855,Fatima Noor,john@example.com,917499940564,Bangalore,India,East,560001.0,P1109,Charger,Accessories,16.021454773452163,19.0,3628.704095992725,172921.79645421807,2021-01-22,2025-05-26,2.0,In Transit,Rail,V974,Mr. Rao,Unknown,R487,5630.916918983429,1229.7417935193005,Warehouse B,Central,Mr. Khan,Low,UPI,Yes,Unknown,Handle with care,68945.37782386177,1585 days,0.21839103847785246,167290.87953523465,Yes,Low,4.0,1.0,False
S196122,O90267,C7159,Nan,amit@gmail.com,918646141901,Unknown,india,West,110001.0,P6223,Laptop,Misc,5.000115246598537,4.0,1206.7690414433216,13794.510437642091,2022-04-10,2023-01-17,5.0,Unknown,Ship,V277,Ms. Sharma,Unknown,R881,2892.410615379814,1147.6067239810775,Hub C,South Hub,Mr. Patel,High,Online,No,Returned,Handle with care,4827.076165773286,282 days,0.396764801608357,10902.099822262277,Yes,Urgent,5.0,3.0,False
S813801,O57535,C8550,Nan,jane@,917866700460,Chennai,India,South,400001.0,P9123,Tablet,Misc,94.91411095670664,16.0,4217.694349370825,65957.74184791233,2020-03-16,2023-11-21,0.0,Delayed,Rail,V383,Mr. Lee,Truck,R123,1320.6811082606414,1335.386338333092,Warehouse A,Unknown,Ms. Verma,Low,UPI,Yes,Unknown,No Remarks,67483.1095899332,1345 days,1.011134580467966,64637.060739651686,No,Low,4.0,1.0,False
S275615,O56142,C4762,Jane Smith,jane@,919507190470,Chennai,USA,North,560001.0,P1457,Unknown,Accessories,56.34708115816488,8.0,2935.617099354375,154723.2036324777,2022-03-20,2023-05-02,1.0,Cancelled,Air,V327,Ms. Sharma,Unknown,R624,6663.056267014754,1406.512023333398,Hub C,Central,Ms. Verma,Low,Credit,Unknown,Not Returned,No Remarks,23484.936794835,408 days,0.21109112199701668,148060.14736546294,Yes,Low,2.0,1.0,False
S655162,O72360,C1410,Jane Smith,amit@gmail.com,918419068967,Delhi,UK,Unknown,560001.0,P7203,Unknown,Accessories,52.246768107192175,8.0,4256.863571377221,62335.441039422105,2023-03-27,2025-08-12,11.0,Cancelled,Rail,V221,Mr. Lee,Unknown,R379,9534.073322592092,632.8260178130992,Unknown,North Hub,Ms. Verma,Unknown,Credit,Unknown,Pending,Check packaging,34054.90857101777,869 days,0.06637519939284969,52801.36771683001,Yes,Unknown,2.0,0.0,False
S348688,O42617,C3793,Michael Brown,amit@gmail.com,916379721447,Chennai,UK,East,560001.0,P7552,Headphones,Accessories,61.37936302487676,17.0,2445.1136839385704,177191.33481676033,2021-03-12,2021-12-19,1.0,Cancelled,Road,V189,Mrs. Patel,Bike,R922,7561.095207931837,959.3305987464664,Unknown,North Hub,Unknown,High,Cash,Yes,Returned,No Remarks,41566.9326269557,282 days,0.12687720130016314,169630.2396088285,Yes,Urgent,1.0,3.0,False
S106465,O36476,C6472,Li Wei,amit@gmail.com,916829335273,Unknown,india,North,400001.0,P9487,Tablet,Electronics,73.03621322007824,10.0,4624.872973105552,197255.3224843835,2020-11-19,2022-11-16,3.0,Delayed,Rail,V150,Mr. Rao,Van,R399,7089.92075935827,643.2002564090315,Warehouse A,South Hub,Mr. Khan,Medium,UPI,Yes,Unknown,No Remarks,46248.729731055515,727 days,0.0907203730817507,190165.40172502524,Yes,Normal,4.0,2.0,False
S565197,O84637,C6341,Amit Kumar,jane@,916510386596,Unknown,UK,West,560001.0,P9201,Unknown,Food,54.89767279465632,12.0,4140.753897801966,192457.5094672196,2020-04-01,2023-11-12,3.0,Unknown,Rail,V442,Mr. Rao,Van,R369,8813.090633228108,1384.7745955000685,Unknown,Unknown,Unknown,High,Debit,Unknown,Not Returned,Check packaging,49689.04677362359,1320 days,0.1571270117521582,183644.4188339915,Yes,Urgent,3.0,3.0,False
S440122,O85883,C2314,Michael Brown,jane@,918121121069,Mumbai,UK,West,0.0,P7362,Tablet,Food,43.04033132667569,5.0,524.0510366881534,12926.827000405874,2021-02-24,2021-06-01,9.0,Unknown,Air,V278,Mr. Lee,Unknown,R733,4839.546420163297,787.0087478115729,Hub C,Unknown,Unknown,Unknown,Credit,Yes,Not Returned,Delayed delivery,2620.2551834407673,97 days,0.16262035312495618,8087.280580242577,Yes,Unknown,2.0,0.0,False
S355993,O76590,C6981,Jane Smith,jane@,919437192688,Chennai,UK,East,0.0,P4452,Charger,Furniture,92.22648638480013,8.0,247.931337549312,128829.12309077912,2021-01-13,2022-12-07,6.0,Cancelled,Road,V151,Mr. Rao,Van,R321,4839.546420163297,419.635431707086,Unknown,Central,Ms. Verma,Medium,Card,No,Not Returned,No Remarks,1983.450700394496,693 days,0.08670966145891966,123989.57667061582,Yes,Normal,6.0,2.0,False
S500169,O57638,C6761,John Doe,jane@,918355162443,mumbai,USA,East,0.0,P4297,Headphones,Furniture,6.824055853459352,13.0,2700.135729141203,148242.9734891228,2020-10-29,2021-07-12,3.0,Unknown,Ship,V749,Ms. Sharma,Bike,R119,8621.622056807979,1114.660510613214,Warehouse A,South Hub,Ms. Verma,Medium,UPI,Yes,Returned,No Remarks,35101.764478835634,256 days,0.1292866357709375,139621.35143231484,Yes,Normal,4.0,2.0,False
S716298,O96502,C1904,Fatima Noor,amit@gmail.com,917525921114,Chennai,Unknown,Unknown,0.0,P3170,Mobile,Accessories,43.04033132667569,7.0,394.1316242533175,12163.06652983601,2021-08-13,2025-09-06,7.0,Delivered,Air,V765,Mrs. Patel,Bike,R420,4582.846229073827,1942.6544828863225,Warehouse B,Central,Unknown,Medium,Credit,No,Unknown,Check packaging,2758.9213697732225,1485 days,0.42389693779425025,7580.220300762184,Yes,Normal,2.0,2.0,False
S665933,O95206,C9026,Fatima Noor,john@example.com,918359928012,Bangalore,USA,North,560001.0,P8908,Headphones,Clothing,46.370715781593645,15.0,2203.7000871626456,128829.12309077912,2020-11-14,2025-09-01,3.0,Unknown,Air,V509,Mr. Rao,Cargo,R998,1092.0050948894086,860.6044895169268,Unknown,South Hub,Mr. Khan,Low,Card,Yes,Returned,Check packaging,33055.501307439685,1752 days,0.7880956723961837,127737.11799588971,Yes,Low,6.0,1.0,False
S202558,O70490,C5978,Michael Brown,john@example.com,917471509775,Unknown,UK,West,400001.0,P2079,Headphones,Electronics,18.893018324789946,4.0,4323.3523984833655,154723.2036324777,2023-05-01,2024-04-02,12.0,In Transit,Road,V484,Mrs. Patel,Van,R473,4988.932744170654,1463.6602901953722,Warehouse B,Central,Ms. Verma,Unknown,Card,No,Not Returned,Handle with care,17293.409593933462,337 days,0.29338144353731654,149734.27088830704,Yes,Unknown,6.0,0.0,False
S209120,O65634,C6193,Nan,john@example.com,916457964073,Delhi,india,South,600001.0,P2591,Unknown,Electronics,73.09581474463738,7.0,1400.4722109570012,50746.4205647399,2020-11-12,2025-09-09,2.0,Unknown,Road,V410,Mr. Lee,Truck,R129,7652.798285852741,740.9701505086177,Warehouse B,South Hub,Mr. Khan,High,Unknown,Yes,Returned,Delayed delivery,9803.305476699008,1762 days,0.09682342625943817,43093.62227888716,Yes,Urgent,0.0,3.0,False
S679479,O73000,C5110,Amit Kumar,john@example.com,918305766802,Unknown,USA,Unknown,0.0,P2687,Headphones,Electronics,59.44524960177323,18.0,911.0416179407564,147017.13630754218,2023-08-07,2025-04-10,9.0,In Transit,Rail,V200,Unknown,Bike,R205,3087.753105059869,1053.6006661260592,Warehouse A,Unknown,Mr. Khan,Low,Card,Unknown,Unknown,Handle with care,16398.749122933616,612 days,0.34121920706663195,143929.3832024823,Yes,Low,6.0,1.0,False
S440194,O11390,C1349,Li Wei,amit@gmail.com,917351830514,Delhi,India,Unknown,110001.0,P1500,Headphones,Furniture,93.98014468563682,7.0,1955.8260882103048,52705.98887664019,2020-08-28,2023-03-04,7.0,Delayed,Road,V572,Unknown,Van,R719,6203.769967791608,643.2002564090315,Warehouse B,South Hub,Ms. Verma,Low,Credit,Unknown,Returned,Delayed delivery,13690.782617472134,918 days,0.1036789338979948,46502.21890884858,Yes,Low,2.0,1.0,False
S290747,O41987,C3455,Amit Kumar,jane@,917191402235,Unknown,USA,North,600001.0,P2483,Headphones,Electronics,96.58038729091864,2.0,4217.694349370825,79017.03622621998,2020-06-21,2022-08-01,-1.0,Cancelled,Ship,V686,Ms. Sharma,Unknown,R705,8217.077304198368,65.59446973231886,Warehouse A,South Hub,Ms. Verma,Low,Cash,Yes,Returned,Check packaging,8435.38869874165,771 days,0.007982700819767697,70799.95892202161,No,Low,1.0,1.0,False
S869081,O72513,C3501,Amit Kumar,john@example.com,917313380016,mumbai,India,West,400001.0,P8796,Tablet,Food,14.521960384988883,17.0,528.0540744930373,12163.06652983601,2021-06-09,2021-08-12,7.0,Cancelled,Rail,V267,Unknown,Truck,R660,7089.92075935827,1861.9599008559655,Unknown,North Hub,Mr. Khan,Unknown,Unknown,No,Unknown,No Remarks,8976.919266381634,64 days,0.26262069267816435,5073.145770477741,Yes,Unknown,0.0,0.0,False
S719839,O56360,C6445,Jane Smith,john@example.com,917057857068,Delhi,USA,North,400001.0,P7856,Tablet,Food,86.68452650460605,18.0,2903.3773002817984,172921.79645421807,2021-01-31,2022-10-09,8.0,Pending,Air,V496,Unknown,Cargo,R345,4344.41136364849,1009.2353840107952,Warehouse B,Central,Ms. Verma,Medium,Card,Unknown,Returned,Check packaging,52260.79140507237,616 days,0.23230658874882118,168577.3850905696,Yes,Normal,6.0,2.0,False
S528751,O41519,C7175,Michael Brown,amit@gmail.com,918641215675,Chennai,India,East,0.0,P7572,Tablet,Electronics,98.69525019175148,2.0,2634.015917438526,155284.49953043126,2024-01-06,2024-01-06,0.0,In Transit,Ship,V446,Mr. Rao,Truck,R700,4344.41136364849,168.366458425427,Hub C,South Hub,Mr. Patel,Unknown,UPI,Yes,Pending,Delayed delivery,5268.031834877052,0 days,0.03875472286860763,150940.08816678278,No,Unknown,4.0,0.0,False
S309961,O51707,C4922,Nan,john@example.com,918901367182,Bangalore,Unknown,West,400001.0,P7865,Headphones,Accessories,14.521960384988883,14.0,472.02821195246,121613.61499720452,2021-05-26,2024-12-12,11.0,Delayed,Rail,V221,Mrs. Patel,Truck,R645,8621.622056807979,579.5517679876584,Unknown,North Hub,Ms. Verma,High,Credit,Unknown,Unknown,Check packaging,6608.3949673344405,1296 days,0.06722073458671517,112991.99294039655,Yes,Urgent,2.0,3.0,False
S245121,O92720,C4841,Li Wei,jane@,916231563079,Unknown,USA,Unknown,0.0,P2072,Headphones,Clothing,47.48538505361395,3.0,307.5872965880739,44976.48821164394,2025-04-01,2025-04-04,1.0,Pending,Road,V803,Mr. Rao,Cargo,R211,2556.84184777188,1507.020936989745,Unknown,North Hub,Mr. Patel,Low,Online,Unknown,Not Returned,Handle with care,922.7618897642217,3 days,0.5894071775706483,42419.64636387206,Yes,Low,5.0,1.0,False
S672875,O89843,C2779,Li Wei,amit@gmail.com,916271602401,Chennai,USA,East,560001.0,P1792,Charger,Clothing,92.22648638480013,13.0,3034.59077191849,57232.80452318232,2021-05-11,2023-07-23,2.0,Delayed,Ship,V265,Mrs. Patel,Van,R473,1209.5034005447242,1456.7019584324769,Warehouse B,Unknown,Mr. Patel,Unknown,Debit,Yes,Unknown,Delayed delivery,39449.68003494037,803 days,1.2043802090811997,56023.3011226376,Yes,Unknown,3.0,0.0,False
S423244,O99270,C3633,Nan,john@example.com,919534967638,mumbai,UK,West,600001.0,P2922,Charger,Furniture,6.972633502035312,8.0,4662.325816717454,167175.08618281968,2020-01-03,2024-08-04,11.0,Cancelled,Road,V594,Mr. Lee,Truck,R736,6663.056267014754,419.635431707086,Hub C,Unknown,Mr. Khan,High,Online,No,Not Returned,No Remarks,37298.60653373963,1675 days,0.06297942188849248,160512.02991580492,Yes,Urgent,5.0,3.0,False
S842515,O40572,C4563,Nan,amit@gmail.com,919961142805,Bangalore,UK,South,0.0,P8020,Laptop,Accessories,73.09581474463738,15.0,3016.4933319896995,65423.89090924677,2020-11-13,2022-06-07,8.0,Delayed,Road,V413,Mr. Lee,Cargo,R986,8641.039994658273,1006.8520125604368,Unknown,North Hub,Mr. Patel,Medium,Cash,Yes,Not Returned,Handle with care,45247.39997984549,571 days,0.11651977229394304,56782.850914588504,Yes,Normal,1.0,2.0,False
S888996,O58592,C1355,Jane Smith,john@example.com,919541667843,Chennai,USA,North,560001.0,P2242,Tablet,Food,30.772103174474005,14.0,473.0606673630325,177191.33481676033,2020-07-07,2024-08-18,9.0,Unknown,Ship,V299,Mrs. Patel,Unknown,R574,4344.41136364849,1070.479318614681,Unknown,North Hub,Ms. Verma,Medium,Credit,No,Not Returned,Check packaging,6622.849343082455,1503 days,0.24640376543801307,172846.92345311184,Yes,Normal,2.0,2.0,False
S990476,O84450,C8125,Nan,jane@,917507551468,mumbai,USA,North,560001.0,P1664,Unknown,Clothing,5.1218160656397735,16.0,3016.4933319896995,94641.0785219888,2024-02-21,2025-05-14,1.0,Delayed,Road,V829,Mr. Rao,Unknown,R673,8641.039994658273,579.5517679876584,Unknown,South Hub,Ms. Verma,Unknown,Debit,Yes,Unknown,Delayed delivery,48263.89331183519,448 days,0.06706967776401063,86000.03852733053,Yes,Unknown,3.0,0.0,False
S779278,O30465,C6291,Amit Kumar,amit@gmail.com,918629719793,Delhi,India,East,400001.0,P3177,Tablet,Electronics,68.5811861379596,17.0,2814.938437455917,90097.76479821977,2022-12-07,2023-11-18,4.0,Pending,Road,V583,Ms. Sharma,Cargo,R730,4582.846229073827,149.4238239751592,Hub C,Central,Ms. Verma,Medium,Online,Unknown,Unknown,No Remarks,47853.95343675059,346 days,0.03260502676856279,85514.91856914594,Yes,Normal,5.0,2.0,False
S566918,O28088,C7559,Jane Smith,john@example.com,917938393587,Mumbai,india,West,110001.0,P3728,Headphones,Furniture,83.32804275964196,1.0,1274.3561221595528,32793.98709345699,2020-05-10,2024-03-28,11.0,Delivered,Air,V605,Unknown,Van,R441,1104.4280670263602,151.0244465801482,Hub C,Central,Unknown,Unknown,Cash,Unknown,Unknown,Check packaging,1274.3561221595528,1418 days,0.13674448439795364,31689.55902643063,Yes,Unknown,1.0,0.0,False
S362430,O85256,C2062,Amit Kumar,amit@gmail.com,917001605361,Delhi,USA,West,600001.0,P9620,Laptop,Electronics,9.30500395416599,16.0,3016.4933319896995,60987.13870572674,2020-03-16,2021-06-14,3.0,Delayed,Air,V812,Mr. Rao,Van,R475,8621.622056807979,1248.440027973224,Warehouse A,South Hub,Mr. Khan,Medium,Debit,Unknown,Not Returned,No Remarks,48263.89331183519,455 days,0.1448033815153618,52365.51664891876,Yes,Normal,3.0,2.0,False
S464505,O59957,C9556,Fatima Noor,jane@,916064975892,mumbai,India,South,0.0,P2275,Mobile,Furniture,46.370715781593645,19.0,4217.694349370825,128829.12309077912,2021-04-24,2024-07-20,5.0,Cancelled,Air,V972,Mr. Lee,Truck,R662,9505.59236698481,1858.3740533142127,Warehouse A,South Hub,Mr. Khan,Medium,Unknown,No,Pending,No Remarks,80136.19263804567,1183 days,0.19550323447161366,119323.5307237943,Yes,Normal,0.0,2.0,False
S598485,O36835,C8686,Nan,john@example.com,919352283596,Unknown,UK,West,110001.0,P2446,Unknown,Furniture,16.021454773452163,11.0,866.0408676854231,147443.16319598138,2022-09-18,2023-07-04,9.0,In Transit,Rail,V125,Mr. Rao,Van,R765,586.5309851562531,1779.5949701260106,Warehouse A,South Hub,Unknown,Medium,Unknown,Unknown,Not Returned,No Remarks,9526.449544539653,289 days,3.034102230169345,146856.63221082513,Yes,Normal,0.0,2.0,False
S772897,O27612,C3487,Jane Smith,john@example.com,917944531756,Bangalore,USA,North,400001.0,P4232,Mobile,Accessories,49.63266183825688,6.0,524.0510366881534,33111.50560680302,2021-06-20,2021-09-08,12.0,Cancelled,Road,V162,Mr. Lee,Cargo,R879,6663.056267014754,309.92670108277554,Unknown,North Hub,Mr. Patel,High,Debit,Yes,Unknown,Delayed delivery,3144.3062201289204,80 days,0.046514195387641816,26448.44933978826,Yes,Urgent,3.0,3.0,False
S366213,O92476,C1358,Michael Brown,jane@,919614490481,Unknown,UK,Unknown,560001.0,P5320,Charger,Accessories,26.248608169201685,13.0,3887.72519106764,65423.89090924677,2021-02-03,2023-11-07,-1.0,In Transit,Air,V540,Mr. Rao,Van,R141,178.809622859355,1961.602136056614,Warehouse A,Central,Mr. Khan,Low,Credit,Yes,Returned,No Remarks,50540.42748387932,1007 days,10.970338758555167,65245.081286387416,No,Low,2.0,1.0,False
S569664,O37265,C5714,Fatima Noor,amit@gmail.com,919856889784,mumbai,UK,East,110001.0,P1233,Tablet,Food,61.37936302487676,10.0,4018.205925899916,52705.98887664019,2020-12-08,2023-04-06,8.0,Pending,Rail,V337,Mr. Lee,Cargo,R434,2530.987075191979,1507.020936989745,Unknown,Unknown,Mr. Patel,Unknown,UPI,Unknown,Unknown,Delayed delivery,40182.05925899916,849 days,0.5954281441265106,50175.00180144821,Yes,Unknown,4.0,0.0,False
S115457,O75681,C1688,Fatima Noor,amit@gmail.com,918296049319,Bangalore,india,Unknown,600001.0,P4591,Tablet,Food,6.972633502035312,13.0,3628.704095992725,97446.15289517608,2020-12-18,2023-05-18,13.0,In Transit,Ship,V437,Unknown,Van,R353,8408.905679026246,168.366458425427,Hub C,Central,Mr. Khan,Low,Credit,Unknown,Unknown,Check packaging,47173.15324790542,881 days,0.020022398258714193,89037.24721614984,Yes,Low,2.0,1.0,False
S517765,O99289,C8927,John Doe,amit@gmail.com,916680265959,Unknown,Unknown,West,400001.0,P4594,Tablet,Misc,96.58038729091864,13.0,2394.7420389966887,179436.94651928847,2025-01-27,2025-05-06,12.0,In Transit,Road,V941,Mr. Lee,Cargo,R805,3152.005782329464,558.3356878130787,Warehouse B,North Hub,Mr. Patel,Medium,Online,Yes,Pending,No Remarks,31131.646506956953,99 days,0.17713663183715522,176284.940736959,Yes,Normal,5.0,2.0,False
S537472,O75959,C5417,Amit Kumar,john@example.com,916207017337,Bangalore,USA,West,400001.0,P1420,Mobile,Electronics,32.85574054166133,8.0,307.5872965880739,149908.959129698,2020-05-28,2021-03-20,10.0,Delayed,Rail,V496,Mr. Lee,Truck,R596,1104.4280670263602,1463.6602901953722,Warehouse A,South Hub,Mr. Patel,Unknown,Debit,Yes,Pending,Handle with care,2460.6983727045913,296 days,1.3252653874835272,148804.53106267162,Yes,Unknown,3.0,0.0,False
